"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Durham Regional Health Unit, Ontario [3530-B] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,36.9
"Durham Regional Health Unit, Ontario [3530-B] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,13.3
"Durham Regional Health Unit, Ontario [3530-B] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,94.9
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,22.3
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,9.1
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,17.1
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,20.2
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,27
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,36
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,57.8
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,42.2
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,61.3
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,74.4
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,92.1
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,77.6
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,33.3
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.9
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,30
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.1
"Elgin-St. Thomas Health Unit, Ontario [3531-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,88.8
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.6
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8.6
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,9.7
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,23.3
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.3
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,22.9
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,40.4
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,57.2
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,42.8
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,61.1
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,76.1
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,95.6
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,73.2
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,33.7
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.7
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,28.2
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.9
"Grey Bruce Health Unit, Ontario [3533-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,8.2
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,89.1
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,28
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.8
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,6.4
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,21.1
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,21.8
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.1
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,42
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,63.6
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,36.4
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,61.8
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,66.4
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,97.1
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,81.1
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,40.3
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,13
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,24
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,13.4
"Haldimand-Norfolk Health Unit, Ontario [3534-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.7
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,89.7
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,25.4
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8.8
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.5
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,26.2
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.3
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.2
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,45.3
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,61.1
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,38.9
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,58.5
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,70.6
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,92.3
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,78.8
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,32
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.8
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,36
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,18.4
"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario [3535-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.5
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.3
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,16.6
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,4.3
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,9
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,16.7
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,17
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.2
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,46.9
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,62.4
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,37.6
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,53.6
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,22.8
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,73.8
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,94.4
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,81.1
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,27.6
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.1
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,36.7
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.6
"Halton Regional Health Unit, Ontario [3536-B] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,88.8
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,19.9
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8.5
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.8
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.3
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.4
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,14.9
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,39.9
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,54.3
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,45.7
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,57.1
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,26
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,71.1
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,94.4
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,78.6
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,32.7
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,12.7
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,40.2
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.1
"City of Hamilton Health Unit, Ontario [3537-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.9
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.1
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,26.8
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,9.2
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.3
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,25
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.8
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.3
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,44.8
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,56.1
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,43.9
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,60.4
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,73.9
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,96.8
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.7
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,37.1
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,12.9
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,27.6
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,12.1
"Hastings and Prince Edward Counties Health Unit, Ontario [3538-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,7.8
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,94.7
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,23.3
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,F
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,5.2
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,27.4
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.8
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,23.9
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,45
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,56
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,67.4
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,71.9
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,96.5
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,76.3
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,38.1
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.2
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,11.7
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.5
"Huron County Health Unit, Ontario [3539-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.9
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,25.1
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,10.3
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,9
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,21.6
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,21.2
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.4
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,33.6
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,50.5
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,49.5
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,66.5
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,75.6
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,92.2
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,76.3
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,35.1
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.4
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,24.4
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,9.5
"Chatham-Kent Health Unit, Ontario [3540-C] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.4
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,94.3
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,20.5
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.7
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.4
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,19.7
"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario [3541-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.9
